Instituição;Código;TCB;TD;TC;Cidade;UF;Data;Instituição Sujeita à Apuração da Exposição Total;Instituição Utiliza Metodologia Simplificada;Exposição Total ou Ativo Total (R$ mil);Total de Ativos Consolidados no Exterior (US$ mil);SR;TCip;
ARC CORRETORA CAMBIO S.A. - PRUDENCIAL;1000082066;n2;I;2;SANTOS;SP;12/2025;Não;Não;5.884;0;S4;3
ARTTA SCD PRUDENCIAL;1000085661;n1;I;2;CURITIBA;PR;12/2025;Não;Sim;82.141;0;S5;1
ASA SCFI - PRUDENCIAL;1000086608;n1;I;2;SAO PAULO;SP;12/2025;Não;Sim;1.346.694;0;S5;1
ASAAS GESTAO FINANCEIRA IP - PRUDENCIAL;1000085771;n1;C;2;JOINVILLE;SC;12/2025;Não;Não;2.502.949;0;S4;3
ASPENFIN-BR SCMEPP LTDA. - PRUDENCIAL;1000083058;n1;I;2;PORTO ALEGRE;RS;12/2025;Não;Sim;22.548;0;S5;1
ASTRO IP - PRUDENCIAL;1000088156;n4;I;3;SAO PAULO;SP;12/2025;Não;Sim;127.738;0;NA;2
ATF SCD - PRUDENCIAL;1000085915;n1;I;2;PORTO ALEGRE;RS;12/2025;Não;Sim;17.802;0;S5;1
ATICCA SCD PRUDENCIAL;1000085946;n1;I;2;ARARAQUARA;SP;12/2025;Não;Sim;8.178;0;S5;1
ATIVA S.A. CTCV - PRUDENCIAL;1000082547;n2;I;2;RIO DE JANEIRO;RJ;12/2025;Não;Não;269.334;0;S4;3
ATLANTA SCM LTDA - PRUDENCIAL;1000083034;n1;I;2;PASSOS;MG;12/2025;Não;Sim;2.838;0;S5;1
ATRIA S.A. - CFI - PRUDENCIAL;1000083508;n1;I;2;ARAUCARIA;PR;12/2025;Não;Sim;94.507;0;S5;1
ATUAL CC - PRUDENCIAL;1000087858;n2;I;2;SOROCABA;SP;12/2025;Não;Não;1.306;0;S4;3
AVENUE SECURITIES BI - PRUDENCIAL;1000088008;b2;I;2;SAO PAULO;SP;12/2025;Sim;Não;313.112;0;S4;1
AVIPAM CC LTDA. - PRUDENCIAL;1000082042;n2;I;2;RIO DE JANEIRO;RJ;12/2025;Não;Não;639;0;S4;3
AVS CORRETORA DE CÂMBIO LTDA - PRUDENCIAL;1000084590;n2;I;2;CURITIBA;PR;12/2025;Não;Sim;2.333;0;S5;3
AZIMUT BRASIL DTVM - PRUDENCIAL;1000084325;n2;I;3;SAO PAULO;SP;12/2025;Não;Não;34.207;0;S4;3
AZUMI DTVM PRUDENCIAL;1000085719;n2;I;2;SAO PAULO;SP;12/2025;Não;Não;47.967;0;S4;3
BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL;1000081029;n1;I;1;PORTO ALEGRE;RS;12/2025;Não;Não;3.677.169;0;S4;1
BAMAQ CAPITAL SCD - PRUDENCIAL;1000086691;n1;I;2;CONTAGEM;MG;12/2025;Não;Sim;4.290;0;S5;1
BANCO AFINZ BM - PRUDENCIAL;1000083539;b1;C;2;SOROCABA;SP;12/2025;Sim;Não;3.183.920;0;S4;1
BANCO B3 - PRUDENCIAL;1000081225;b1;C;2;SAO PAULO;SP;12/2025;Sim;Não;1.650.339;0;S4;1
BANCO BARI DE INVESTIMENTO E FINANCI. - PRUDENCIAL;1000080893;b1;C;2;CURITIBA;PR;12/2025;Sim;Não;2.233.006;0;S4;1
BANCO C6 - PRUDENCIAL;1000084844;b1;C;2;SAO PAULO;SP;12/2025;Sim;Não;152.329.252;1.269.914;S3;1
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;I;3;CURITIBA;PR;12/2025;Sim;Não;27.630.586;0;S3;1
BANCO DIGIMAIS - PRUDENCIAL;1000081799;b1;C;3;SAO PAULO;SP;12/2025;Sim;Não;10.047.132;0;S4;1
BANCO HSBC - PRUDENCIAL;1000084741;b1;I;3;SAO PAULO;SP;12/2025;Sim;Não;19.297.486;0;S3;1
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;I;2;RIO DE JANEIRO;RJ;12/2025;Sim;Não;810.869;0;S4;1
BANCO KOMATSU DO BRASIL - PRUDENCIAL;1000084576;b2;I;3;SAO PAULO;SP;12/2025;Sim;Não;1.369.073;0;S4;1
BANCO MONEO S.A. - PRUDENCIAL;1000081500;b2;I;2;CAXIAS DO SUL;RS;12/2025;Sim;Não;1.651.940;0;S4;1
BANCO PACCAR - PRUDENCIAL;1000084899;b2;I;3;PONTA GROSSA;PR;12/2025;Sim;Não;8.980.790;0;S4;1
BANCO PAULISTA - PRUDENCIAL;1000080381;b1;C;2;SAO PAULO;SP;12/2025;Sim;Não;1.796.554;0;S4;1
BANCO PLENO - PRUDENCIAL;1000088668;b1;C;2;SAO PAULO;SP;12/2025;NI;NI;NI;NI;S4;1
