Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);Títulos e Valores Mobiliários (c);Instrumentos Derivativos (d);Operações de Crédito;;;;;Operações de Arrendamento Financeiro;;;;Outras Operações com Características de Concessão de Crédito;;;;;Valores a Receber de Transações de Pagamentos - Usuários Finais (Pós-pago);;;Outros Ativos Realizáveis (i);Ativo Permanente (j);Ativo Total (k) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h) + (i) + (j);
;;;;;;;;;;;;;Valor Contábil Bruto (e1);Perda Esperada (e2);Hedge de Valor Justo (e3);Ajuste a Valor Justo (e4);Operações de Crédito (e);Valor Contábil Bruto (f1);Perda Esperada (f2);Hedge de Valor Justo (f3);Operações de Arrendamento Financeiro (f);Valor Contábil Bruto (g1);Perda Esperada (g2);Hedge de Valor Justo (g3);Ajuste a Valor Justo (g4);Outras Operações com Características de Concessão de Crédito (g);Valor Contábil Bruto (h1);Perda Esperada (h2);Valores a Receber de Transações de Pagamentos - Usuários Finais (Pós-pago) (h);;;;
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;12/2025;1.298.123;4.024.499;69.199.129;100.240;59.269.577;-3.652.427;0;0;55.617.150;5.286;-73;0;5.213;3.620.727;-80.877;0;0;3.539.851;2.133.192;-80.783;2.052.410;26.120.761;1.768.770;163.726.145
BANCO C6 - PRUDENCIAL;1000084844;b1;S3;C;2;SAO PAULO;SP;12/2025;629.269;2.366.689;38.176.876;235.384;71.544.894;-4.212.484;-154.014;0;67.178.396;0;0;0;0;12.612.849;-46.648;756;0;12.566.957;11.096.115;-168.793;10.927.322;14.827.414;1.242.701;148.151.010
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;12/2025;569.133;5.819.919;33.558.294;3.540.848;72.776.274;-9.301.614;-175.713;217;63.299.164;119.718;-514;0;119.204;9.984.294;-187.408;0;25;9.796.911;3.566.647;-268.222;3.298.425;16.676.212;2.374.065;139.052.175
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;12/2025;54.529;30.053.582;39.882.859;4.806.770;1.919.362;-3.401;0;0;1.915.962;0;0;0;0;670.404;-7.115;0;0;663.289;0;0;0;58.590.912;143.936;136.111.838
CIELO IP - PRUDENCIAL;1000084710;n4;NA;C;2;BARUERI;SP;12/2025;14.775;456.846;2.156.831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107.518.411;8.951.467;119.098.330
MERCADO PAGO IP - PRUDENCIAL;1000084820;n1;S3;C;3;OSASCO;SP;12/2025;943.882;0;7.620.795;39.355;16.126.709;-6.897.595;0;0;9.229.114;0;0;0;0;0;0;0;0;0;19.976.370;-1.975.027;18.001.342;66.949.775;737.552;103.521.816
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;12/2025;1.487.134;6.078.532;21.336.225;307.726;36.024.200;-1.778.098;-81.789;0;34.164.314;3.695.399;-67.270;-4.011;3.624.118;23.115.567;-391.132;0;0;22.724.435;85.167;-635;84.532;8.156.352;1.778.080;99.741.450
INTER - PRUDENCIAL;1000080996;b1;S3;C;2;BELO HORIZONTE;MG;12/2025;3.094.437;918.057;28.697.951;58.914;32.504.823;-2.431.862;-247.217;0;29.825.745;0;0;0;0;2.153.781;-10.851;0;0;2.142.930;12.291.734;-547.683;11.744.051;17.419.148;2.551.270;96.452.503
PAGSEGURO - PRUDENCIAL;1000084813;b1;S3;C;2;SAO PAULO;SP;12/2025;85.533;183;863.609;4.924;3.283.709;-76.733;-16.444;0;3.190.531;0;0;0;0;0;0;0;0;0;672.479;-33.680;638.799;64.416.363;6.414.377;75.614.319
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;C;1;FORTALEZA;CE;12/2025;162.352;3.451.268;42.954.889;67.062;19.672.312;-1.110.489;0;0;18.561.823;0;0;0;0;482.239;-155.328;0;0;326.911;42.514;-477;42.037;7.097.868;727.258;73.391.469
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;12/2025;785.784;5.149.869;26.443.344;5.684.941;17.937.403;-317.704;0;0;17.619.699;0;0;0;0;5.578.348;-427.978;0;0;5.150.370;0;0;0;5.178.081;304.322;66.316.410
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;12/2025;55.544;1.532.878;19.031.272;0;41.304.315;-2.863.910;0;0;38.440.405;0;0;0;0;158.525;-7.029;0;0;151.496;17;0;17;3.796.499;315.792;63.323.902
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;12/2025;547.048;3.556.233;108.520;297.456;47.475.392;-2.754.981;0;0;44.720.411;48.826;-859;0;47.967;4.358.142;-4.544;0;0;4.353.598;0;0;0;5.335.478;63.252;59.029.963
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;12/2025;277.244;8.068.482;7.494.250;2.048.177;28.805.677;-727.064;0;0;28.078.613;0;0;0;0;10.601.120;-97.989;0;-5.628;10.497.503;0;0;0;530.101;89.152;57.083.522
STONE IP - PRUDENCIAL;1000084686;n1;S3;C;3;SAO PAULO;SP;12/2025;1.375.335;29.610;42.169;10.706;2.591.919;-366.514;0;0;2.225.405;0;0;0;0;0;0;0;0;0;244.665;-14.769;229.896;49.833.707;1.671.184;55.418.013
AGIBANK - PRUDENCIAL;1000083694;b1;S3;C;3;CAMPINAS;SP;12/2025;325.854;527.346;10.480.151;251.302;34.627.439;-2.390.187;-72.969;0;32.164.284;0;0;0;0;0;0;0;0;0;93.041;-7.755;85.287;2.940.146;1.882.657;48.657.026
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;12/2025;495.008;73.054;15.490.800;54.342;22.168.849;-1.559.532;-13.261;0;20.596.056;0;0;0;0;552.295;-1.036;0;0;551.259;630.987;-42.696;588.291;8.210.778;1.840.308;47.899.896
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;12/2025;383.308;9.890.607;15.558.288;10.631.445;2.074.952;-53.547;-471;0;2.020.934;0;0;0;0;4.469.111;-2.504;0;0;4.466.606;1.646;-321;1.325;2.761.275;101.308;45.815.096
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;12/2025;270.343;3.797.994;11.653.865;4.568.396;657.332;-1.797;0;0;655.534;0;0;0;0;2.112.116;-3.753;0;0;2.108.364;0;0;0;19.783.517;132.952;42.970.965
